epoch,BoxAP,PoseAP
758,0.677,0.480
759,0.677,0.479
760,0.678,0.479
761,0.678,0.479
762,0.677,0.480
763,0.677,0.480
764,0.678,0.480
765,0.677,0.479
766,0.678,0.480
767,0.678,0.480
768,0.678,0.480
769,0.678,0.480
770,0.678,0.480
771,0.678,0.480
772,0.679,0.479
773,0.679,0.479
774,0.679,0.479
775,0.679,0.479
776,0.679,0.479
777,0.679,0.479
778,0.679,0.480
779,0.679,0.479
780,0.678,0.480
781,0.678,0.480
782,0.679,0.480
783,0.679,0.480
784,0.678,0.480
785,0.679,0.480
786,0.678,0.481
787,0.679,0.481
788,0.679,0.481
789,0.679,0.481
790,0.679,0.480
791,0.679,0.481
792,0.679,0.481
793,0.679,0.481
794,0.679,0.482
795,0.679,0.482
796,0.679,0.482
797,0.679,0.482
798,0.679,0.482
799,0.679,0.482
800,0.679,0.482
801,0.679,0.482
802,0.680,0.482
803,0.680,0.483
804,0.679,0.482
805,0.680,0.482
806,0.679,0.482
807,0.680,0.483
808,0.680,0.483
809,0.680,0.483
810,0.680,0.483
811,0.681,0.483
812,0.681,0.483
813,0.680,0.484
814,0.681,0.484
815,0.681,0.484
816,0.681,0.485
817,0.681,0.485
818,0.681,0.485
819,0.681,0.486
820,0.681,0.486
821,0.681,0.486
822,0.681,0.486
823,0.681,0.487
824,0.681,0.487
825,0.681,0.487
826,0.681,0.487
827,0.681,0.487
828,0.682,0.487
829,0.682,0.488
830,0.682,0.488
831,0.682,0.488
832,0.682,0.488
833,0.682,0.488
834,0.682,0.487
835,0.682,0.487
836,0.682,0.488
837,0.683,0.488
838,0.683,0.488
839,0.682,0.489
840,0.682,0.488
841,0.682,0.488
842,0.682,0.488
843,0.682,0.489
844,0.682,0.489
845,0.682,0.489
846,0.682,0.489
847,0.683,0.490
848,0.683,0.490
849,0.683,0.490
850,0.683,0.490
851,0.683,0.490
852,0.683,0.490
853,0.683,0.491
854,0.683,0.491
855,0.683,0.491
856,0.683,0.491
857,0.683,0.490
858,0.683,0.491
859,0.683,0.491
860,0.684,0.491
861,0.684,0.491
862,0.684,0.491
863,0.684,0.491
864,0.684,0.491
865,0.683,0.491
866,0.683,0.491
867,0.684,0.491
868,0.684,0.490
869,0.684,0.490
870,0.684,0.490
871,0.684,0.490
872,0.684,0.491
873,0.684,0.491
874,0.684,0.492
875,0.684,0.492
876,0.684,0.491
877,0.684,0.492
878,0.684,0.492
879,0.684,0.492
880,0.684,0.492
881,0.684,0.492
882,0.685,0.491
883,0.685,0.491
884,0.685,0.491
885,0.684,0.491
886,0.684,0.492
887,0.684,0.492
888,0.685,0.492
889,0.685,0.492
890,0.684,0.493
891,0.685,0.492
892,0.685,0.492
893,0.685,0.493
894,0.685,0.492
895,0.685,0.492
896,0.685,0.493
897,0.686,0.493
898,0.686,0.493
899,0.686,0.493
900,0.686,0.493
901,0.686,0.493
902,0.686,0.493
903,0.686,0.493
904,0.686,0.494
905,0.686,0.494
906,0.686,0.495
907,0.686,0.495
908,0.686,0.495
909,0.686,0.495
910,0.686,0.495
